human_id,wikidata_id
Single-cell RNAseq cell cluster labelling by reference (celaref),Q104552099
PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data,Q63664483
Unifying single-cell annotations based on the Cell Ontology,Q104057222
Identifying gene expression programs of cell-type identity and cellular activity with single-cell RNA-Seq,Q83231039
MARS: discovering novel cell types across heterogeneous single-cell experiments,Q100737318
Eleven grand challenges in single-cell data science,Q89599719
A comparison of automatic cell identification methods for single-cell RNA sequencing data,Q89998341
scMontage: Fast and Robust Gene Expression Similarity Search for Massive Single-cell Data,Q104552207
Current best practices in single-cell RNA-seq analysis: a tutorial.,Q64974172
Revealing the vectors of cellular identity with single-cell genomics.,Q39002947
CellO: comprehensive and hierarchical cell type classification of human cells with the Cell Ontology,Q104552259
"Single-cell RNA-seq reveals new types of human blood dendritic cells, monocytes, and progenitors.",Q34555562
Single-cell sequencing of the human midbrain reveals glial activation and a neuronal state specific to Parkinson's disease,Q104552303
Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets,Q34044099
Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris,Q59070958
Comprehensive single-cell transcriptional profiling of a multicellular organism.,Q38619221
Broad transcriptional dysregulation of brain and choroid plexus cell types with COVID-19,Q104552382
A Single-Cell Atlas of In Vivo Mammalian Chromatin Accessibility,Q59770872
Cell type discovery using single-cell transcriptomics: implications for ontological representation.,Q52625486
"ontoProc: processing of ontologies of anatomy, cell lines, and so on",Q101074371
Cells in experimental life sciences - challenges and solution to the rapid evolution of knowledge.,Q48519854
Cells in ExperimentaL Life Sciences (CELLS-2018): capturing the knowledge of normal and diseased cells with ontologies.,Q64928913
Reporting and connecting cell type names and gating definitions through ontologies,Q91614095
An ontology for cell types,Q21184168
Logical development of the cell ontology.,Q33786317
An improved ontological representation of dendritic cells as a paradigm for all cell types,Q21284365
Hematopoietic cell types: prototype for a revised cell ontology,Q33940690
Usage of cell nomenclature in biomedical literature.,Q47565472
Cell ontology in an age of data-driven cell classification.,Q49192555
flowCL: ontology-based cell population labelling in flow cytometry,Q23809269
CLO: The cell line ontology,Q28650204
Formalization of taxon-based constraints to detect inconsistencies in annotation and ontology development.,Q33727235
Toward principles for the design of ontologies used for knowledge sharing?,Q47303277
"What Is Your Conceptual Definition of ""Cell Type"" in the Context of a Mature Organism?",Q87649649
Exciting times to study the identity and evolution of cell types,Q90182085
Function first: classifying cell types and circuits of the retina,Q93189154
Defining cell types and states with single-cell genomics,Q26782737
Cell type discovery and representation in the era of high-content single cell phenotyping.,Q47870911
Defining cellular identity through network biology.,Q42084918
Mapping the transcriptional diversity of genetically and anatomically defined cell populations in the mouse brain,Q64118290
Terminal Selectors of Neuronal Identity.,Q38771724
Construction of a human cell landscape at single-cell level,Q90665256
The definition of cell type,Q77807915
The Human Cell Atlas: from vision to reality.,Q47565008
CELLPEDIA: a repository for human cell information for cell studies and differentiation analyses.,Q35482351
Human Cell Atlas and cell-type authentication for regenerative medicine,Q99418657
Developing Global Cellular Information Retrieval System with Minimum Reporting Guidelines on Cellular Data for Regenerative Medicine,Q104553080
The human body at cellular resolution: the NIH Human Biomolecular Atlas Program,Q90617765
An estimation of the number of cells in the human body.,Q34037445
Opinion: Why science needs philosophy,Q63479773
The meanings of 'function' in biology and the problematic case of de novo gene emergence,Q83227592
Philosophical bias is the one bias that science cannot avoid,Q64097527
The challenges of big data biology,Q63241652
From primal scenes to synthetic cells,Q64097538
"Ontologies in biology: design, applications and future challenges.",Q35670188
Ontologies: Formalising biological knowledge for bioinformatics.,Q38522811
FR-Match: robust matching of cell type clusters from single cell RNA sequencing data using the Friedman-Rafsky non-parametric test,Q103045800
Overview of the Alliance for Cellular Signaling.,Q34164191
CellFinder: a cell data repository,Q28660708
"HeLa, a new microbial species",Q104591553
A survey on annotation tools for the biomedical literature.,Q38068801
Keeping raw data in context.,Q43589284
What makes a gene name? Named entity recognition in the biomedical literature.,Q51955678
Zika virus: designate standardized names,Q24247056
"Representing Specified Values in OWL: ""value partitions"" and ""value sets""",Q104601506
CELDA -- an ontology for the comprehensive representation of cells in complex systems,Q21284308
Using ontologies to study cell transitions,Q34026802
Genetic identification of brain cell types underlying schizophrenia,Q58462175
Q104626424,Q104626424
Uniform resolution of compact identifiers for biomedical data.,Q55053685
Semantically enabling a genome-wide association study database,Q28707570
The Monarch Initiative in 2019: an integrative data and analytic platform connecting phenotypes to genotypes across species,Q91179320
A Survey of Bioinformatics Database and Software Usage through Mining the Literature,Q28600864
"LifeMap Discovery™: the embryonic development, stem cells, and regenerative medicine research portal",Q34846475
"Distinction of Neurons, Glia and Endothelial Cells in the Cerebral Cortex: An Algorithm Based on Cytological Features",Q36193595
The Molecular Pages of the mesotelencephalic dopamine consortium (DopaNet),Q24802073
SC2disease: a manually curated database of single-cell transcriptome for human diseases,Q100429893
AliBaba: PubMed as a graph.,Q43433584
The language of gene ontology: a Zipf's law analysis,Q28268340
Applying Ontology Design Patterns in Bio-ontologies,Q57002925
The dynamics and regulators of cell fate decisions are revealed by pseudotemporal ordering of single cells.,Q41861103
A maximum-likelihood approach for building cell-type trees by lifting,Q35906597
Cell-type phylogenetics and the origin of endometrial stromal cells.,Q38904507
"Implications of Epigenetic Variability within a Cell Population for ""Cell Type"" Classification",Q26770736
Decentralized provenance-aware publishing with nanopublications,Q57339063
"Trusty URIs: Verifiable, Immutable, and Permanent Digital Artifacts for Linked Data",Q56915510
Using the brainbow to trace lineages in early mouse development,Q58836377
"A transcriptome database for astrocytes, neurons, and oligodendrocytes: a new resource for understanding brain development and function",Q29547320
The value of data,Q22676713
"Knowledge.Bio: A Web application for exploring, building and sharing webs of biomedical relationships mined from PubMed",Q57831016
histoCAT: analysis of cell phenotypes and interactions in multiplex image cytometry data.,Q38637165
What is a glial cell?,Q46388366
Div-Seq: Single-nucleus RNA-Seq reveals dynamics of rare adult newborn neurons.,Q41068482
Geometry of the Gene Expression Space of Individual Cells,Q35688096
A Survey and Classification of Controlled Natural Languages,Q57402167
"Fish oil, Raynaud's syndrome, and undiscovered public knowledge",Q69703977
Effective mapping of biomedical text to the UMLS Metathesaurus: the MetaMap program,Q29614363
"BioGPS and MyGene.info: organizing online, gene-centric information",Q27575818
Accurate estimation of cell-type composition from gene expression data,Q91665384
Robust enumeration of cell subsets from tissue expression profiles,Q36539395
Determining cell type abundance and expression from bulk tissues with digital cytometry,Q64109527
Evolution of Cellular Differentiation: From Hypotheses to Models,Q98633613
Utilizing the Wikidata system to improve the quality of medical content in Wikipedia in diverse languages: a pilot study,Q21503276
Cell Identity Codes: Understanding Cell Identity from Gene Expression Profiles using Deep Neural Networks,Q64263662
Genome-wide atlas of gene expression in the adult mouse brain,Q26253934
"Group formation, relatedness, and the evolution of multicellularity",Q86916694
"GiniClust2: a cluster-aware, weighted ensemble clustering method for cell-type detection.",Q53748361
Situating Wikipedia as a health information resource in various contexts: A scoping review,Q85632863
Crowdsourced assessment of common genetic contribution to predicting anti-TNF treatment response in rheumatoid arthritis.,Q37201814
An RDF/OWL knowledge base for query answering and decision support in clinical pharmacogenetics.,Q38420432
Introduction to Random Boolean Networks,Q104815188
A global network of biomedical relationships derived from text.,Q52681328
"Literature Based Discovery: models, methods, and trends.",Q38371706
Identification of region-specific astrocyte subtypes at single cell resolution,Q90091126
Single-cell profiling identifies myeloid cell subsets with distinct fates during neuroinflammation,Q91210236
BioGPS: an extensible and customizable portal for querying and organizing gene annotation resources.,Q21183895
Literature-based discovery of new candidates for drug repurposing.,Q38817541
GiniClust: detecting rare cell types from single-cell gene expression data with Gini index.,Q31111856
"Evolutionary trade-offs, Pareto optimality, and the geometry of phenotype space.",Q54337677
"CA1 pyramidal cells have diverse biophysical properties, affected by development, experience, and aging",Q41694511
Single-cell messenger RNA sequencing reveals rare intestinal cell types.,Q34490100
Toward an epistemology of Wikipedia,Q101955295
Online tools to support literature-based discovery in the life sciences.,Q36280460
The distribution of cellular turnover in the human body,Q104873201
Revised Estimates for the Number of Human and Bacteria Cells in the Body,Q34537872
Literature mining for the biologist: from information retrieval to biological discovery,Q30002370
Overview of BioCreAtIvE: critical assessment of information extraction for biology,Q21093643
What is the total number of protein molecules per cell volume? A call to rethink some published values,Q26782007
Are We Really Vastly Outnumbered? Revisiting the Ratio of Bacterial to Host Cells in Humans.,Q34511374
UniProt: the universal protein knowledgebase in 2021,Q102383737
Evaluation of text data mining for database curation: lessons learned from the KDD Challenge Cup.,Q30811199
"Are Platelets Cells? And if Yes, are They Immune Cells?",Q28083403
"Extracellular vesicles or exosomes? On primacy, precision, and popularity influencing a choice of nomenclature",Q93135668
Q104904652,Q104904652
Rutabaga by any other name: extracting biological names.,Q42599537
Body cell mass: model development and validation at the cellular level of body composition.,Q47579411
Mitochondrial DNA molecules and virtual number of mitochondria per cell in mammalian cells.,Q34168557
An interactive system for finding complementary literatures: a stimulus to scientific discovery,Q57372877
Exploiting semantic relations for literature-based discovery.,Q35725188
The quantified cell,Q34504200
SnapShot: key numbers in biology.,Q34124340
BioNumbers--the database of key numbers in molecular and cell biology,Q24643881
"One Knowledge Graph to Rule Them All? Analyzing the Differences Between DBpedia, YAGO, Wikidata & co",Q41078402
An era of single-cell genomics consortia,Q99418649
The Human Cell Atlas: Technical approaches and challenges.,Q48563763
The automation of science.,Q27937312
Representation of probabilistic scientific knowledge.,Q36786073
An atlas of active enhancers across human cell types and tissues.,Q34660689
A promoter-level mammalian expression atlas,Q34412203
Cell type-specific genetic regulation of gene expression across human tissues,Q99349840
xCell: digitally portraying the tissue cellular heterogeneity landscape.,Q46377913
"Identifying cell types to interpret scRNA-seq data: how, why and more possibilities",Q90784336
Models of global gene expression define major domains of cell type and tissue identity,Q33558314
Building a high-quality Human Cell Atlas,Q105080655
scMatch: a single-cell gene expression profile annotation tool using reference datasets,Q91557912
A protocol for adding knowledge to Wikidata: aligning resources on human coronaviruses,Q105037759
Automating drug discovery.,Q47780833
Conceptions of Good Science in Our Data-Rich World.,Q55214531
On the formalization and reuse of scientific research.,Q34178056
A subcellular map of the human proteome.,Q48155823
"Representation, simulation, and hypothesis generation in graph and logical models of biological networks.",Q37921686
The EXACT description of biomedical protocols.,Q38513299
The Bari Manifesto: An interoperability framework for essential biodiversity variables,Q60250756
"The Philosophy of Logical Atomism, Lecture 1: Facts and Propositions",Q105105637
Transcriptomes of the major human pancreatic cell types.,Q37430849
Variability and memory of protein levels in human cells.,Q40205119
scConsensus: combining supervised and unsupervised clustering for cell type identification in single-cell RNA sequencing data,Q104450617
Study of cell differentiation by phylogenetic analysis using histone modification data,Q30841360
Evaluation of text-mining systems for biology: overview of the Second BioCreative community challenge.,Q34844839
Q,Q
Topic pages: PLoS Computational Biology meets Wikipedia,Q21092570
Submit a Topic Page to PLOS Computational Biology and Wikipedia,Q54655231
Genomic and molecular control of cell type and cell type conversions.,Q49436822
"Inferring cell type innovations by phylogenetic methods-concepts, methods, and limitations.",Q40436539
From Freebase to Wikidata: The Great Migration,Q24074986
What Makes a Good Collaborative Knowledge Graph: Group Composition and Quality in Wikidata,Q38918394
Single-cell sequencing-based technologies will revolutionize whole-organism science.,Q34360540
Model-based understanding of single-cell CRISPR screening,Q64052031
Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage,Q91045816
"Strategic reading, ontologies, and the future of scientific publishing.",Q33493284
Geospatial data and Scholia,Q50813856
SuperCT: a supervised-learning framework for enhanced characterization of single-cell transcriptomic profiles,Q64106229
Principles of Cell Circuits for Tissue Repair and Fibrosis,Q89717434
WikiGenomes: an open Web application for community consumption and curation of gene annotation data in Wikidata,Q28529449
Towards Robot Scientists for autonomous scientific discovery.,Q21198755
Single-cell RNA sequencing reveals the heterogeneity of liver-resident immune cells in human,Q94464890
Cell Atlas of The Human Fovea and Peripheral Retina,Q96576585
Wikidata: A Free Collaborative Knowledgebase,Q18507561
Biotea: semantics for Pubmed Central.,Q47191940
Making Linked Data SPARQL with the InterMine Biological Data Warehouse,Q58881147
Cell-type deconvolution from DNA methylation: a review of recent applications.,Q47661868
Cell-type-specific programs for activity-regulated gene expression,Q90360171
Learning for single-cell assignment,Q101132241
Droplet scRNA-seq is not zero-inflated,Q92644135
Circular RNA expression in human hematopoietic cells is widespread and cell-type specific,Q58779756
scReClassify: post hoc cell type classification of single-cell rNA-seq data,Q92237112
Microparadigms: chains of collective reasoning in publications about molecular interactions.,Q34451887
Seeking a new biology through text mining.,Q42220103
Extraction of relations between genes and diseases from text and large-scale data analysis: implications for translational research,Q21146739
TOAST: improving reference-free cell composition estimation by cross-cell type differential analysis,Q93103927
Cell-type-resolved alternative splicing patterns in mouse liver.,Q50084595
Modularisation of domain ontologies implemented in description logics and related formalisms including OWL,Q29027414
Categorization of services for seeking information in biomedical literature: a typology for improvement of practice.,Q40065967
Scrutinizing SNOMED CT's Ability to Reconcile Clinical Language Ambiguities with an Ontology Representation,Q95522960
alona: a web server for single cell RNA-seq analysis,Q93179879
The selection and function of cell type-specific enhancers,Q28081960
Scale and context: issues in ontologies to link health- and bio-informatics.,Q38431134
Using the wisdom of the crowds to find critical errors in biomedical ontologies: a study of SNOMED CT.,Q38262429
scSLAM-seq reveals core features of transcription dynamics in single cells,Q91776830
Slide-seq: A scalable technology for measuring genome-wide expression at high spatial resolution,Q92687649
A review of the semantic web field,Q105079960
"Towards a Systematic Approach to Sync Factual Data across Wikipedia, Wikidata and External Data Sources",Q105428190
Discovering pathway and cell-type signatures in transcriptomic compendia with machine learning,Q57897434
Computational methods for the integrative analysis of single-cell data,Q94503935
DBpedia FlexiFusion the Best of Wikipedia > Wikidata > Your Data,Q87813149
OSCAR4: a flexible architecture for chemical text-mining,Q27062470
Moana: A robust and scalable cell type classification framework for single-cell RNA-Seq data,Q105394114
"Bias, robustness and scalability in single-cell differential expression analysis",Q56879991
Cell-type deconvolution in epigenome-wide association studies: a review and recommendations.,Q39314677
Text processing through Web services: calling Whatizit.,Q38514993
Why do it the hard way? The case for an expressive description logic for SNOMED,Q28292343
Comparison of concept recognizers for building the Open Biomedical Annotator.,Q33504367
Wikidata through the eyes of DBpedia,Q87813191
Wikidata through the Eyes of DBpedia,Q27036443
"A comprehensive, cell specific microRNA catalogue of human peripheral blood.",Q47678818
CNS microRNA profiles: a database for cell type enriched microRNA expression across the mouse central nervous system,Q90438547
Regulation of cell-type-specific transcriptomes by microRNA networks during human brain development,Q93223327
[What is a pancreatic stem cell?],Q73867340
BioPortal: ontologies and integrated data resources at the click of a mouse,Q29617519
Identification of SARS-CoV-2 Inhibitors using Lung and Colonic Organoids,Q101051356
Decoding myofibroblast origins in human kidney fibrosis,Q101569793
Distinct hypothalamic control of same- and opposite-sex mounting behaviour in mice,Q103836863
Machine learning for rediscovering revolutionary ideas of the past,Q105302822
Scientific intuition inspired by machine learning generated hypotheses,Q105516701
"Tacit Knowledge, Trust and the Q of Sapphire",Q105516720
